bigram,frequency,word1,word2,word1_freq,word2_freq
"('proofs', 'he')",2.6473235558850002e-05,proofs,he,0.00010589013898080742,0.0015618795499669094
"('our', 'preſent')",0.00015883941335310001,our,preſent,0.0017471872931833223,0.00042356055592322967
"('afficitur', 'pars')",2.6473235558850002e-05,afficitur,pars,7.941760423560556e-05,0.00013236267372600927
"('concluſions', 'of')",2.6473235558850002e-05,concluſions,of,7.941760423560556e-05,0.04788881535407015
"('but', 'when')",2.6473235558850002e-05,but,when,0.0060092653871608205,0.001800132362673726
"('together', 'we')",2.6473235558850002e-05,together,we,0.00031767041694242225,0.005320979483785572
"('himſelf', 'he')",2.6473235558850002e-05,himſelf,he,0.0002382528127068167,0.0015618795499669094
"('partes', 'ſingulis')",2.6473235558850002e-05,partes,ſingulis,2.6472534745201854e-05,2.6472534745201854e-05
"('as', 'of')",5.2946471117700005e-05,as,of,0.013077432164129715,0.04788881535407015
"('much', 'inclin')",5.2946471117700005e-05,much,inclin,0.003070814030443415,0.00010589013898080742
"('conterpoize', 'the')",2.6473235558850002e-05,conterpoize,the,2.6472534745201854e-05,0.09082726671078756
"('an', 'inſtrument')",5.2946471117700005e-05,an,inſtrument,0.0036796823295830576,0.0003970880211780278
"('water', 'muſt')",5.2946471117700005e-05,water,muſt,0.021389808074123096,0.002329583057577763
"('half', 'in')",2.6473235558850002e-05,half,in,0.00037061548643282596,0.019060225016545335
"('deſcent', 'and')",2.6473235558850002e-05,deſcent,and,0.00031767041694242225,0.02255459960291198
"('down', 'as')",7.941970667655001e-05,down,as,0.0007412309728656519,0.013077432164129715
"('weight', 'ſeem')",2.6473235558850002e-05,weight,ſeem,0.003812045003309067,0.0003441429516876241
"('raiſing', 'of')",5.2946471117700005e-05,raiſing,of,0.00013236267372600927,0.04788881535407015
"('and', 'place')",5.2946471117700005e-05,and,place,0.02255459960291198,0.0011912640635340834
"('equal', 'not')",2.6473235558850002e-05,equal,not,0.001455989410986102,0.008815354070152217
"('poterit', 'cum')",2.6473235558850002e-05,poterit,cum,2.6472534745201854e-05,0.00013236267372600927
"('that', 'are')",0.00047651824005930007,that,are,0.023957643944407678,0.0019060225016545335
"('but', 'of')",7.941970667655001e-05,but,of,0.0060092653871608205,0.04788881535407015
"('this', 'surface')",2.6473235558850002e-05,this,surface,0.006909331568497683,0.002832561217736598
"('the', 'ſilken')",2.6473235558850002e-05,the,ſilken,0.09082726671078756,2.6472534745201854e-05
"('may', 'hope')",2.6473235558850002e-05,may,hope,0.004262078093977498,0.00015883520847121113
"('water', 'whoſe')",0.00013236617779425003,water,whoſe,0.021389808074123096,0.0009530112508272668
"('one', 'that')",0.00015883941335310001,one,that,0.0027796161482461948,0.023957643944407678
"('he', 'is')",2.6473235558850002e-05,he,is,0.0015618795499669094,0.009027134348113832
"('frequently', 'made')",2.6473235558850002e-05,frequently,made,5.294506949040371e-05,0.002382528127068167
"('inequality', 'betwixt')",2.6473235558850002e-05,inequality,betwixt,0.00013236267372600927,0.0005294506949040371
"('inſtrument', 'of')",2.6473235558850002e-05,inſtrument,of,0.0003970880211780278,0.04788881535407015
"('ſay', 'water')",2.6473235558850002e-05,ſay,water,0.0004500330906684315,0.021389808074123096
"('the', 'sucker')",5.2946471117700005e-05,the,sucker,0.09082726671078756,5.294506949040371e-05
"('fluid', 'ſuſtains')",2.6473235558850002e-05,fluid,ſuſtains,0.00071475843812045,7.941760423560556e-05
"('may', 'imploy')",2.6473235558850002e-05,may,imploy,0.004262078093977498,0.00042356055592322967
"('ſhould', 'preſs')",7.941970667655001e-05,ſhould,preſs,0.0012177365982792851,0.0023031105228325612
"('of', 'writers')",2.6473235558850002e-05,of,writers,0.04788881535407015,0.00021178027796161483
"('lamp', 'a')",2.6473235558850002e-05,lamp,a,7.941760423560556e-05,0.01842488418266049
"('it', 'communicated')",2.6473235558850002e-05,it,communicated,0.02088682991396426,0.00010589013898080742
"('indeed', 'in')",2.6473235558850002e-05,indeed,in,0.00031767041694242225,0.019060225016545335
"('poure', 'on')",2.6473235558850002e-05,poure,on,0.00013236267372600927,0.0022501654533421574
"('grand', 'theorem')",2.6473235558850002e-05,grand,theorem,7.941760423560556e-05,0.00015883520847121113
"('d', 'up')",0.0006618308889712501,d,up,0.019642620780939774,0.002329583057577763
"('left', 'unfill')",2.6473235558850002e-05,left,unfill,0.00026472534745201854,2.6472534745201854e-05
"('fluidity', 'firmneſs')",2.6473235558850002e-05,fluidity,firmneſs,2.6472534745201854e-05,2.6472534745201854e-05
"('pipes', 'for')",2.6473235558850002e-05,pipes,for,0.0010589013898080742,0.005294506949040371
"('it', 'floated')",2.6473235558850002e-05,it,floated,0.02088682991396426,5.294506949040371e-05
"('offers', 'of')",2.6473235558850002e-05,offers,of,2.6472534745201854e-05,0.04788881535407015
"('will', 'yet')",5.2946471117700005e-05,will,yet,0.006485771012574454,0.002673726009265387
"('do', 'which')",2.6473235558850002e-05,do,which,0.0014030443414956982,0.006909331568497683
"('ſtreight', 'as')",2.6473235558850002e-05,ſtreight,as,0.00010589013898080742,0.013077432164129715
"('counterpoize', 'to')",2.6473235558850002e-05,counterpoize,to,0.00015883520847121113,0.027743216412971543
"('other', 'animals')",5.2946471117700005e-05,other,animals,0.004659166115155526,0.00013236267372600927
"('ſupplied', 'by')",2.6473235558850002e-05,ſupplied,by,2.6472534745201854e-05,0.010800794176042357
"('was', 'running')",2.6473235558850002e-05,was,running,0.0038914626075446726,0.00015883520847121113
"('one', 'feels')",2.6473235558850002e-05,one,feels,0.0027796161482461948,5.294506949040371e-05
"('hypotheſes', 'touching')",2.6473235558850002e-05,hypotheſes,touching,2.6472534745201854e-05,0.00013236267372600927
"('places', 'endeavour')",2.6473235558850002e-05,places,endeavour,0.00031767041694242225,0.0009530112508272668
"('learned', 'adherents')",2.6473235558850002e-05,learned,adherents,0.0005294506949040371,2.6472534745201854e-05
"('beſides', 'a')",2.6473235558850002e-05,beſides,a,0.00029119788219722037,0.01842488418266049
"('me', 'he')",2.6473235558850002e-05,me,he,0.0006088682991396426,0.0015618795499669094
"('experience', 'too')",2.6473235558850002e-05,experience,too,0.00029119788219722037,0.0004500330906684315
"('it', 'needs')",2.6473235558850002e-05,it,needs,0.02088682991396426,0.00026472534745201854
"('ſometimes', 'near')",5.2946471117700005e-05,ſometimes,near,0.0004500330906684315,0.0006353408338848445
"('paradox', 'annexes')",2.6473235558850002e-05,paradox,annexes,0.001270681667769689,2.6472534745201854e-05
"('have', 'recourſe')",0.00010589294223540001,have,recourſe,0.0038649900727994705,0.00015883520847121113
"('parts', 'one')",2.6473235558850002e-05,parts,one,0.0031502316346790206,0.0027796161482461948
"('reaching', 'directly')",2.6473235558850002e-05,reaching,directly,0.0002382528127068167,0.00037061548643282596
"('judged', 'neceſſary')",2.6473235558850002e-05,judged,neceſſary,2.6472534745201854e-05,0.00026472534745201854
"('it', 'we')",5.2946471117700005e-05,it,we,0.02088682991396426,0.005320979483785572
"('all', 'able')",2.6473235558850002e-05,all,able,0.002382528127068167,0.0008735936465916612
"('all', 'the')",0.0007147773600889501,all,the,0.002382528127068167,0.09082726671078756
"('d', 'render')",2.6473235558850002e-05,d,render,0.019642620780939774,7.941760423560556e-05
"('syphon', 'deeper')",2.6473235558850002e-05,syphon,deeper,0.0014295168762409,0.0003441429516876241
"('half', 'a')",7.941970667655001e-05,half,a,0.00037061548643282596,0.01842488418266049
"('thing', 'more')",2.6473235558850002e-05,thing,more,0.0006353408338848445,0.0028590337524818
"('probably', 'make')",2.6473235558850002e-05,probably,make,7.941760423560556e-05,0.0017207147584381204
"('twice', 'as')",2.6473235558850002e-05,twice,as,2.6472534745201854e-05,0.013077432164129715
"('them', 'unmention')",2.6473235558850002e-05,them,unmention,0.002382528127068167,2.6472534745201854e-05
"('ſufficient', 'argument')",2.6473235558850002e-05,ſufficient,argument,0.0002382528127068167,0.0002382528127068167
"('within', 'pipes')",2.6473235558850002e-05,within,pipes,0.00071475843812045,0.0010589013898080742
"('partly', 'delivered')",2.6473235558850002e-05,partly,delivered,0.0006882859033752482,0.00013236267372600927
"('orifice', 'unſtopp')",2.6473235558850002e-05,orifice,unſtopp,0.00214427531436135,0.00010589013898080742
"('or', 'wire')",2.6473235558850002e-05,or,wire,0.006565188616810059,0.00013236267372600927
"('perpendicular', 'that')",2.6473235558850002e-05,perpendicular,that,0.0005294506949040371,0.023957643944407678
"('who', 'deſcend')",2.6473235558850002e-05,who,deſcend,0.00018530774321641298,0.0003970880211780278
"('pipe', 'of')",0.00021178588447080002,pipe,of,0.005532759761747187,0.04788881535407015
"('finger', 'though')",2.6473235558850002e-05,finger,though,0.0007677035076108537,0.0035473196558570485
"('which', 'ponderates')",2.6473235558850002e-05,which,ponderates,0.006909331568497683,2.6472534745201854e-05
"('me', 'c')",2.6473235558850002e-05,me,c,0.0006088682991396426,0.0008471211118464593
"('eaſily', 'gather')",2.6473235558850002e-05,eaſily,gather,0.0007941760423560556,0.00013236267372600927
"('cylinders', 'or')",2.6473235558850002e-05,cylinders,or,5.294506949040371e-05,0.006565188616810059
"('that', 'stevinus')",2.6473235558850002e-05,that,stevinus,0.023957643944407678,0.0005559232296492389
"('k', 'by')",2.6473235558850002e-05,k,by,0.001270681667769689,0.010800794176042357
"('yet', 'becauſe')",7.941970667655001e-05,yet,becauſe,0.002673726009265387,0.001985440105890139
"('top', 'and')",2.6473235558850002e-05,top,and,0.0011647915287888815,0.02255459960291198
"('the', 'carteſians')",2.6473235558850002e-05,the,carteſians,0.09082726671078756,2.6472534745201854e-05
"('contrary', 'to')",0.00015883941335310001,contrary,to,0.00029119788219722037,0.027743216412971543
"('to', 'peceive')",2.6473235558850002e-05,to,peceive,0.027743216412971543,2.6472534745201854e-05
"('confidence', 'that')",2.6473235558850002e-05,confidence,that,5.294506949040371e-05,0.023957643944407678
"('have', 'yet')",5.2946471117700005e-05,have,yet,0.0038649900727994705,0.002673726009265387
"('it', 'paradox')",2.6473235558850002e-05,it,paradox,0.02088682991396426,0.001270681667769689
"('leans', 'upon')",0.00023825912002965003,leans,upon,0.0004500330906684315,0.0057445400397088025
"('it', 'cau')",2.6473235558850002e-05,it,cau,0.02088682991396426,2.6472534745201854e-05
"('way', 'perhaps')",2.6473235558850002e-05,way,perhaps,0.0011647915287888815,0.00037061548643282596
"('the', 'oyly')",2.6473235558850002e-05,the,oyly,0.09082726671078756,2.6472534745201854e-05
"('deliquium', 'which')",2.6473235558850002e-05,deliquium,which,0.00010589013898080742,0.006909331568497683
"('an', 'exceeding')",2.6473235558850002e-05,an,exceeding,0.0036796823295830576,0.00015883520847121113
"('which', 'thruſts')",2.6473235558850002e-05,which,thruſts,0.006909331568497683,2.6472534745201854e-05
"('this', 'paradox')",0.00013236617779425003,this,paradox,0.006909331568497683,0.001270681667769689
"('as', 'by')",5.2946471117700005e-05,as,by,0.013077432164129715,0.010800794176042357
