bigram,frequency,word1,word2,word1_freq,word2_freq
"('glaris', 'where')",1.1800941715148868e-05,glaris,where,7.080481472740146e-05,0.0014751003068208639
"('e', 'er')",2.3601883430297737e-05,e,er,0.0011210762331838565,8.260561718196837e-05
"('the', 'poison')",1.1800941715148868e-05,the,poison,0.07344819447722445,1.180080245456691e-05
"('spanish', 'bishop')",1.1800941715148868e-05,spanish,bishop,0.00015341043190936982,0.0003422232711824404
"('canton', 'may')",1.1800941715148868e-05,canton,may,0.0003186216662733066,0.001191881047911258
"('army', 'had')",1.1800941715148868e-05,army,had,0.00020061364172763749,0.0037408543780977107
"('air', 'is')",0.00010620847543633982,air,is,0.0005428369129100779,0.02032098182676422
"('iesuites', 'and')",1.1800941715148868e-05,iesuites,and,0.0001180080245456691,0.030658484776964832
"('them', 'tho')",1.1800941715148868e-05,them,tho,0.005558177956101015,0.002017937219730942
"('in', 'some')",0.0003304263680241683,in,some,0.02158366768940288,0.003646447958461175
"('some', 'particular')",1.1800941715148868e-05,some,particular,0.003646447958461175,0.0005546377153646448
"('a', 'neighbour')",3.54028251454466e-05,a,neighbour,0.02368421052631579,5.900401227283455e-05
"('im', 'ges')",1.1800941715148868e-05,im,ges,7.080481472740146e-05,1.180080245456691e-05
"('interest', 'the')",1.1800941715148868e-05,interest,the,0.00020061364172763749,0.07344819447722445
"('an', 'instance')",1.1800941715148868e-05,an,instance,0.0035048383290063726,5.900401227283455e-05
"('alone', 'passeth')",1.1800941715148868e-05,alone,passeth,0.00010620722209110219,7.080481472740146e-05
"('titles', 'had')",1.1800941715148868e-05,titles,had,4.720320981826764e-05,0.0037408543780977107
"('the', 'asking')",1.1800941715148868e-05,the,asking,0.07344819447722445,2.360160490913382e-05
"('in', 'capitals')",1.1800941715148868e-05,in,capitals,0.02158366768940288,3.540240736370073e-05
"('erected', 'by')",1.1800941715148868e-05,erected,by,1.180080245456691e-05,0.005263157894736842
"('fifteen', 'persons')",1.1800941715148868e-05,fifteen,persons,0.00016521123436393675,0.0004484304932735426
"('half', 'in')",1.1800941715148868e-05,half,in,0.0005074345055463772,0.02158366768940288
"('small', 'fear')",1.1800941715148868e-05,small,fear,0.0005782393202737787,3.540240736370073e-05
"('somewhat', 'of')",3.54028251454466e-05,somewhat,of,0.00014160962945480293,0.04392258673589804
"('a', 'traveller')",4.720376686059547e-05,a,traveller,0.02368421052631579,7.080481472740146e-05
"('much', 'inclined')",1.1800941715148868e-05,much,inclined,0.0032216190700967667,3.540240736370073e-05
"('stop', 'to')",1.1800941715148868e-05,stop,to,3.540240736370073e-05,0.024651876327590277
"('hand', 'under')",1.1800941715148868e-05,hand,under,0.000389426481000708,0.0008260561718196837
"('invasion', 'upon')",1.1800941715148868e-05,invasion,upon,5.900401227283455e-05,0.0021713476516403117
"('now', 'none')",1.1800941715148868e-05,now,none,0.0014160962945480293,0.0004602312957281095
"('that', 'are')",0.000991279104072505,that,are,0.028239320273778616,0.0096648572102903
"('remark', 'which')",1.1800941715148868e-05,remark,which,2.360160490913382e-05,0.009334434741562427
"('ground', 'be')",1.1800941715148868e-05,ground,be,0.0007198489497285815,0.005145149870191173
"('world', 'are')",1.1800941715148868e-05,world,are,0.0006372433325466132,0.0096648572102903
"('quantity', 'and')",1.1800941715148868e-05,quantity,and,8.260561718196837e-05,0.030658484776964832
"('rich', 'there')",3.54028251454466e-05,rich,there,0.0006018409251829125,0.00744630634883172
"('fines', 'there')",1.1800941715148868e-05,fines,there,7.080481472740146e-05,0.00744630634883172
"('are', 'cut')",2.3601883430297737e-05,are,cut,0.0096648572102903,0.000259617654000472
"('go', 'on')",4.720376686059547e-05,go,on,0.000660844937455747,0.004024073637007316
"('give', 'not')",1.1800941715148868e-05,give,not,0.0008850601840925183,0.0072220911021949495
"('prevail', 'but')",1.1800941715148868e-05,prevail,but,4.720320981826764e-05,0.008036346471560067
"('livres', 'for')",1.1800941715148868e-05,livres,for,0.00010620722209110219,0.008543780977106443
"('lodge', 'them')",1.1800941715148868e-05,lodge,them,3.540240736370073e-05,0.005558177956101015
"('cast', 'my')",1.1800941715148868e-05,cast,my,8.260561718196837e-05,0.0007434505546377154
"('suburb', 'on')",2.3601883430297737e-05,suburb,on,2.360160490913382e-05,0.004024073637007316
"('ibi', 'a')",1.1800941715148868e-05,ibi,a,3.540240736370073e-05,0.02368421052631579
"('and', 'cheese')",1.1800941715148868e-05,and,cheese,0.030658484776964832,1.180080245456691e-05
"('they', 'converse')",1.1800941715148868e-05,they,converse,0.010762331838565023,3.540240736370073e-05
"('pope', 'iulius')",1.1800941715148868e-05,pope,iulius,0.0006018409251829125,3.540240736370073e-05
"('and', 'iasper')",1.1800941715148868e-05,and,iasper,0.030658484776964832,1.180080245456691e-05
"('serve', 'the')",1.1800941715148868e-05,serve,the,3.540240736370073e-05,0.07344819447722445
"('cyprus', 'but')",1.1800941715148868e-05,cyprus,but,1.180080245456691e-05,0.008036346471560067
"('erlack', 'with')",1.1800941715148868e-05,erlack,with,5.900401227283455e-05,0.005451970734009912
"('change', 'i')",1.1800941715148868e-05,change,i,0.0003304224687278735,0.007812131224923295
"('indeed', 'in')",2.3601883430297737e-05,indeed,in,0.0005782393202737787,0.02158366768940288
"('is', 'between')",3.54028251454466e-05,is,between,0.02032098182676422,0.0004484304932735426
"('was', 'gained')",1.1800941715148868e-05,was,gained,0.00908661789001652,4.720320981826764e-05
"('some', 'stay')",1.1800941715148868e-05,some,stay,0.003646447958461175,0.00021241444418220438
"('and', 'chin')",1.1800941715148868e-05,and,chin,0.030658484776964832,1.180080245456691e-05
"('liberty', 'than')",1.1800941715148868e-05,liberty,than,0.000389426481000708,0.0017701203681850365
"('of', 'neuf')",1.1800941715148868e-05,of,neuf,0.04392258673589804,1.180080245456691e-05
"('bear', 'about')",1.1800941715148868e-05,bear,about,0.00021241444418220438,0.0014987019117299976
"('formerly', 'he')",1.1800941715148868e-05,formerly,he,4.720320981826764e-05,0.007363700731649752
"('conti', 'ually')",1.1800941715148868e-05,conti,ually,1.180080245456691e-05,1.180080245456691e-05
"('tha', 'were')",1.1800941715148868e-05,tha,were,9.440641963653528e-05,0.004649516167099362
"('often', 'four')",1.1800941715148868e-05,often,four,0.00041302808590984187,0.0007552513570922823
