bigram,frequency,word1,word2,word1_freq,word2_freq
"('and', 'ſtill')",0.00013883104262113008,and,ſtill,0.04525263742365353,0.000138811771238201
"('caſe', 'liable')",0.00013883104262113008,caſe,liable,0.000971682398667407,0.000277623542476402
"('are', 'there')",0.00013883104262113008,are,there,0.006524153248195447,0.009439200444197668
"('the', 'virgin')",0.00013883104262113008,the,virgin,0.057884508606329814,0.000138811771238201
"('that', 'would')",0.00013883104262113008,that,would,0.02373681288173237,0.001943364797334814
"('will', 'diſſolve')",0.00013883104262113008,will,diſſolve,0.003331482509716824,0.000138811771238201
"('scripture', 'received')",0.00013883104262113008,scripture,received,0.002082176568573015,0.001110494169905608
"('into', 'all')",0.00013883104262113008,into,all,0.00138811771238201,0.005830094392004442
"('in', 'courſe')",0.00013883104262113008,in,courſe,0.016102165463631316,0.000277623542476402
"('far', 'ſome')",0.00013883104262113008,far,ſome,0.000832870627429206,0.003192670738478623
"('diſproved', 'to')",0.00013883104262113008,diſproved,to,0.000138811771238201,0.03678511937812327
"('accompliſhed', 'that')",0.00013883104262113008,accompliſhed,that,0.000138811771238201,0.02373681288173237
"('and', 'put')",0.00013883104262113008,and,put,0.04525263742365353,0.000555247084952804
"('needs', 'any')",0.00013883104262113008,needs,any,0.000555247084952804,0.005136035535813437
"('this', 'corruptible')",0.00013883104262113008,this,corruptible,0.006524153248195447,0.000138811771238201
"('other', 'goſpel')",0.0005553241704845203,other,goſpel,0.003192670738478623,0.010410882842865074
"('together', 'as')",0.00013883104262113008,together,as,0.000277623542476402,0.013742365352581899
"('as', 'i')",0.00041649312786339027,as,i,0.013742365352581899,0.003331482509716824
"('without', 'a')",0.00013883104262113008,without,a,0.000832870627429206,0.018184342032204332
"('of', 'thoſe')",0.00027766208524226016,of,thoſe,0.04094947251526929,0.001110494169905608
"('authority', 'in')",0.00013883104262113008,authority,in,0.001110494169905608,0.016102165463631316
"('uncomfortable', 'and')",0.00013883104262113008,uncomfortable,and,0.000138811771238201,0.04525263742365353
"('the', 'character')",0.00013883104262113008,the,character,0.057884508606329814,0.000416435313714603
"('ſo', 'frequent')",0.00013883104262113008,ſo,frequent,0.004858411993337035,0.000138811771238201
"('are', 'agreeable')",0.00013883104262113008,are,agreeable,0.006524153248195447,0.000138811771238201
"('or', 'reſiſts')",0.00013883104262113008,or,reſiſts,0.009994447529150472,0.000138811771238201
"('any', 'could')",0.00013883104262113008,any,could,0.005136035535813437,0.001110494169905608
"('than', 'a')",0.00013883104262113008,than,a,0.004719600222098834,0.018184342032204332
